id,question,ground_truth,prediction,latency,exact_match,numerical_match
Single_JKHY/2009/page_28.pdf-3,what was the percentage change in the net cash from operating activities from 2008 to 2009,14.10%,14.13,23.45103312,FALSE,TRUE
Single_RSG/2008/page_114.pdf-2,what was the percent of the growth in the revenues from 2007 to 2008,1.30%,1.27,11.36020427,FALSE,TRUE
Single_AAPL/2002/page_23.pdf-1,what was the percentage change in net sales from 2000 to 2001?,-32%,-32.82,14.71018709,FALSE,TRUE
Single_UPS/2009/page_33.pdf-2,what was the difference in percentage cumulative return on investment for united parcel service inc . compared to the s&p 500 index for the five year period ended 12/31/09?,-26.16%,-26.16,65.48683921,FALSE,TRUE
Double_UPS/2009/page_33.pdf,what is the roi of an investment in ups in 2004 and sold in 2006?,-8.90%,-8.94,13.52084466,FALSE,TRUE
Double_UPS/2009/page_33.pdf,what was the difference in percentage cumulative return on investment for united parcel service inc . compared to the s&p 500 index for the five year period ended 12/31/09?,-26.16%,26.16,3.987615765,FALSE,TRUE
Single_CE/2010/page_134.pdf-2,what portion of the total shares subject to outstanding awards is under the 2009 global incentive plan?,70.10%,0.2994,21.14873638,FALSE,FALSE
Single_JPM/2013/page_104.pdf-2,what was the percentage increase in litigation reserves in 2012?,15.60%,15.625,27.5427251,FALSE,TRUE
Double_MAS/2012/page_92.pdf,what was the percent of the change in the company 2019s warranty liability from 2011 to 2012,15.70%,15.68627451,26.08987096,FALSE,TRUE
Double_MAS/2012/page_92.pdf,what was the percentage change in the company's warranty liability from 2011 to 2012?,16%,15.69,3.24976973,FALSE,TRUE
Single_HIG/2004/page_122.pdf-2,what portion of total obligations are due within the next 3 years?,22.99%,22.98,30.7861766,FALSE,TRUE
Single_SLG/2013/page_133.pdf-4,"for the years ended december 31 , 2013 , 2012 and 2011 , what was the total in millions capitalized to assets associated with compensation expense related to long-term compensation plans , restricted stock and stock options?\\n",12,12,26.38790037,FALSE,TRUE
Double_AES/2016/page_98.pdf,what was the change in millions between 2014 and 2015 of foreign currency transaction gains ( losses ) for aes corporation?,3,3,34.15507635,FALSE,TRUE
Double_AES/2016/page_98.pdf,what was the change in millions between 2015 and 2016 of foreign currency transaction gains ( losses ) for aes corporation?,-19,-19,1.525386093,FALSE,TRUE
Single_ETR/2008/page_336.pdf-3,what is the percent change in net revenue between 2007 and 2008?,2.40%,2.44,9.703049742,FALSE,TRUE
Single_BKR/2017/page_105.pdf-2,"what portion of the authorized shares of class b common stock is outstanding as of december 31 , 2017?",56.60%,0.565588,16.01476105,FALSE,FALSE
Double_AES/2011/page_230.pdf,"as of december 31 , 2011 , what is the total in billions available under the committed credit facilities?",2.6,2.6,28.18680558,FALSE,TRUE
Double_AES/2011/page_230.pdf,"what percentage of total non-recourse debt as of december 31 , 2011 is due in 2014?",11%,10.55,3.220555017,FALSE,TRUE
Single_JPM/2016/page_73.pdf-4,what was the 5 year return of the kbw bank index?,158.82%,158.82,15.59675233,FALSE,TRUE
Double_ADBE/2018/page_66.pdf,what is the average yearly amortization expense related to trademarks?,11.10%,0,41.57862671,FALSE,FALSE
Double_ADBE/2018/page_66.pdf,what is the average yearly amortization expense related to purchased technology?,16.70%,,1.691538289,FALSE,FALSE
Double_PNC/2014/page_99.pdf,in 2014 what was the percent of the change associated with total net charge-offs,14.70%,50.7,25.09645733,FALSE,FALSE
Double_PNC/2014/page_99.pdf,what was the ratio of the provision for credit losses in 2014 compared 2013 .,0.43,0.42,59.20869587,FALSE,TRUE
Single_BLK/2017/page_35.pdf-4,what is the percentage change in the balance of asset allocation from 2016 to 2017?,11.20%,11.25,14.18340177,FALSE,TRUE
Single_HII/2015/page_120.pdf-4,between 2015 and 2013 what was the average compensation expense related to the issuing of the stock award in millions,40.3,40.33,17.95264373,FALSE,TRUE
Single_AMT/2002/page_104.pdf-2,"what is the total expected payments for principal of long- term debt , including capital leases in the next 36 months?",594840,594840,55.55484138,FALSE,TRUE
Single_VRTX/2005/page_103.pdf-1,what is the percent change in net loss on disposal of assets between 2004 and 2005?,700%,700,8.255699318,FALSE,TRUE
Single_STT/2013/page_54.pdf-4,how much higher are the returns of the s&p 500 in the same period ( 2008-2013 ) ? as a percentage .,30%,30,24.02193202,FALSE,TRUE
Single_GS/2014/page_62.pdf-2,what is the percentage change in standardized rwas in 2014?,-1.20%,-1.204,11.41240022,FALSE,TRUE
